"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","1","680nF","C1","CAP-TH_L17.0-W8.5-P15.00-D1.2","680nF","KP684J2J1502","KYET(科雅)","C390149","LCSC"
"2","1","33nF","C2","C0805","33nF","0805B333K500NT","FH(风华)","C1739","LCSC"
"3","1","100uF","C3","CAP-TH_BD10.0-P5.00-D0.6-FD_H16.0","100uF","ERA100V100M10X16","JIERR(捷而瑞)","C49256825","LCSC"
"4","1","33uF","C4","CAP-TH_BD8.0-P3.50-D0.6-FD","33uF","100YXJ33M8X11.5","Rubycon(红宝石)","C424111","LCSC"
"5","2","US1M-E3/61T","D1,D2","SMA_L4.3-W2.6-LS5.2-RD","","US1M-E3/61T","VISHAY(威世)","C81191","LCSC"
"6","1","S310","D3","SOD-123FL_L2.7-W1.8-LS3.8-RD","","S310","YANGJIE(扬杰)","C698815","LCSC"
"7","1","JQC-3FB-GH 012-1H11","K1","RELAY-TH_4P-L27.5-W16.5-JQC-3FB-GH-012-1H11","","JQC-3FB-GH 012-1H11","QLRELAY","C41432362","LCSC"
"8","2","100uH","L1,L2","IND-SMD_L28.0-W25.0_PFC-SE2822-251M","100uH","PFC-SE2822-101M","FC(方成)","C42422419","LCSC"
"9","1","100uH","L3","IND-SMD_L12.3-W12.3_SMDRI127","100uH","SMDRI127-101MT","SXN(顺翔诺)","C10150","LCSC"
"10","2","IPW60R037P7XKSA1","Q1,Q2","TO-247-3_L15.9-W5.1-P5.44-L","","IPW60R037P7XKSA1","Infineon(英飞凌)","C454263","LCSC"
"11","5","1kΩ","R1,R2,R7,R8,R9","R1206","1kΩ","1206W4F1001T5E","UNI-ROYAL(厚声)","C4410","LCSC"
"12","2","1206F1005T5E","R3,R4","R1206","","1206F1005T5E","","C5157961","LCSC"
"13","2","100Ω","R5,R6","R1206","100Ω","FRP1206F1000TS","FOJAN(富捷)","C5713416","LCSC"
"14","1","8.6kΩ","R10","R0603","8.6kΩ","AR03FTDX8601A","Viking(光颉)","C2924154","LCSC"
"15","1","1kΩ","R11","R0603","1kΩ","FRC0603F1001TS","FOJAN(富捷)","C2907002","LCSC"
"16","1","HX KCD11-2P-R","SW1","SW-TH_2P-L15.0-W10.5-P5.00_KCD11-2P-R","","HX KCD11-2P-R","hanxia(韩下)","C6917318","LCSC"
"17","1","TPS2814DR","U1","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","","TPS2814DR","TI(德州仪器)","C2676925","LCSC"
"18","1","XL7015E1","U2","TO-252-5_L6.6-W5.8-P1.27-TL","","XL7015E1","XLSEMI(芯龙)","C73013","LCSC"
"19","2","KF135T-10.16-2P","U3,U4","CONN-TH_P10.16_KF135T-10.16-2P","","KF135T-10.16-2P","KEFA(科发)","C475108","LCSC"
"20","2","XSD683-022","U5,U6","HEATSINK-TH_L35.5-W11.0-XSD683-022","","XSD683-022","XSD(鑫顺达)","C286231","LCSC"
